reference,translation,similarity,lenght_diff,ref_tox,trn_tox,diff_tox,ref_words,trn_words
Your wife's killer is still out there.,your wife's killer is still at large.,0.896500033046,0.0256410256410256,0.9444118738174438,0.0487632900476455,0.8956485837697984,7,7
"even if you're destroying yourself, you want to fail more, lose more, die more than others, stink more than others.","Even when you self destruct, you have to fail more, lose more. Die more than others. Stink more than others.",0.893836615272,0.0603448275862069,0.9577359557151794,0.0214251987636089,0.9363107569515704,20,20
Anton wouldn't lift his butt off the couch even if his house burned.,Anton would not scoot his behind off the couch if the house was on fire.,0.7827310856199999,0.0547945205479452,0.9851824641227722,0.0092953881248831,0.9758870759978892,13,15
"""oh, damn, Clara, I know that!","""Christ, Klara! I know that.",0.776214119328,0.064516129032258,0.9986659288406372,5.1000450184801593e-05,0.9986149283904524,6,5
"you're my only real friend, you son of a bitch.","Youre my only real friend. lm not leaving you, do you understand that?",0.627173515435,0.323943661971831,0.9995160102844238,8.689150854479522e-05,0.999429118775879,10,13
Kenny just punched in the face.,Kenny just hit himself in the face.,0.8462273707260001,0.1111111111111111,0.9763901233673096,0.0604346729815006,0.915955450385809,6,7
you have to put the dollar in the fucking bottle.,You have to put $1 in the swear jar.,0.6769847663549999,0.26,0.9971237778663636,0.0002784031094051,0.9968453747569586,10,9
you sound like one of those crazy-ass freaks.,You sound like one of those anti-vaccine cranks.,0.8472472444470001,0.0612244897959183,0.9992079138755798,0.0167349483817815,0.9824729654937984,8,8
"This is all shit, and to top it off, I've got nowhere to sleep.",this is useless and I have nowhere else to sleep.,0.678877159729,0.21875,0.9980929493904114,0.0465504452586174,0.951542504131794,14,10
We ain't got all night for this shit.,we don't have all night.,0.80758468316,0.3421052631578947,0.9994149208068848,4.899944178760052e-05,0.9993659213650972,8,5
"You and your grandmother, crazy-pants.",you and your grandmother.,0.924810525579,0.3333333333333333,0.999105989933014,0.0010863215429708,0.9980196683900432,5,4
"Well, then shut up.",so be quiet.,0.6636003062610001,0.35,0.9996392726898192,0.0006799834663979,0.9989592892234214,4,3
"No one will bother a tough old dwarf, but a tiny halfling and a skinny elf might look like good sport to the brutes in here.","the burly, stiff gnome would be no bother, but the sight of a little half-wit and a lean elf might provoke some not pleasant fun.",0.732774319712,0.0384615384615384,0.9017500877380372,0.1658594906330108,0.7358905971050265,26,25
You all want me to walk around like some sick walrus?,to swim around like a lame walrus?,0.617494470916,0.3518518518518518,0.9933692812919616,0.0340444445610046,0.9593248367309568,11,7
even if this bastard brought him back...... for about 10 minutes.,Although this little fella did bring it back for about ten minutes. (Chuckles) (Laughs),0.603701380533,0.25,0.9982232451438904,0.0001167566733784,0.998106488470512,11,14
"Crítica, Biblioteca de bolsillo, Barcelona, 2001, sets out with biting sarcasm ‘the laws of human stupidity’ sorting people into four groups according to a simple losses and gains equation:","the crítica, Biblioteca de bolsillo, Barcelona, 2001, is widely read about the ""laws of human stupidity"" and divides people into four categories, according to the simple equation of losses and revenues: ""Unrelenting"" is an activity underlying it as an impairment when it gives an advantage to a neighbour;",0.652909865267,0.3790849673202614,0.922902286052704,0.0815033987164497,0.8413988873362542,29,48
But twice I've broken arms and once I kicked a mugger in the crotch and said he fainted.,but I already broke my two arm and kicked one where the men don't like it.,0.733320746901,0.1573033707865168,0.93387770652771,0.0143773946911096,0.9195003118366004,18,16
everyone in school was crazy.,Everybody in the school went crazy.,0.93722722404,0.1666666666666666,0.9924530386924744,0.0420005172491073,0.9504525214433672,5,6
"The world's gonna end, and there's gonna be nothing left but Bret Michaels... him and the cockroaches.","the world's gonna be over, and there's nothing left for Bret Michaels.",0.7614205034720001,0.3106796116504854,0.9933340549468994,0.0008991310605779,0.9924349238863216,17,12
Just go get us some fucking food.,you better get us some food.,0.7571717432639999,0.1470588235294117,0.998513162136078,0.000184074480785,0.998329087655293,7,6
"You wouldn't hear, cos you're a freak with a microphone.","and you wouldn't hear it, 'cause all you care about is a microphone.",0.6837788528290001,0.1739130434782608,0.9948988556861876,0.0002398647193331,0.9946589909668544,10,13
"hey, is it a black woman or a white woman?","Hey, is it a black or white girl?",0.8957571450280001,0.2093023255813953,0.8102519512176514,0.0101247420534491,0.8001272091642022,10,8
A jealous old man.,a jealous man.,0.8757138913879999,0.2105263157894736,0.8792382478713989,0.038918562233448,0.8403196856379509,4,3
for a fat-ass joke?,What was it? The fat joke?,0.71337279486,0.2592592592592592,0.9949423670768738,0.0032803672365844,0.9916619998402894,4,6
Terrain's crappy.,the terrain is terrible.,0.782432631376,0.28,0.9451525807380676,0.0001897156034829,0.9449628651345848,2,4
"""goddamn!"" He exploded.","""Hell!"" he erupted.",0.8686901061910001,0.1666666666666666,0.988731563091278,0.1435217410326004,0.8452098220586776,3,3
...and I shot him.,... and I fired.,0.819706471382,0.1052631578947368,0.987041473388672,0.0003189492854289,0.9867225241032432,4,4
the shit?,The hit?,0.646263655018,0.1,0.9989663362503052,8.315658487845212e-05,0.9988831796654268,2,2
"Now she's the only black waitress working at the Lima Country Club, taking orders from a bunch of rich old white guys who barely tip.","and now she's the only color waitress who works at a luxury club, makes a sidekick for an old white rich man who doesn't like to give her a pumpkin.",0.697190065326,0.1006711409395973,0.909595787525177,0.0160912964493036,0.8935044910758734,25,30
the plan is to bomb the capital.,"The idea, to blitz the capital with bombs.",0.74669970579,0.2325581395348837,0.7799273133277893,0.0449051409959793,0.73502217233181,7,8
this charming crook thinks humanity is not as pure and sincere as he is himself.,"That charming rascal thinks mankind is not so pure, just like him.",0.723682915318,0.1728395061728395,0.9860467314720154,0.0030750201549381,0.9829717113170772,15,12
"not now, brat!","Not this time, punk!",0.705352744096,0.2857142857142857,0.9678716063499452,0.0021273829042911,0.965744223445654,3,4
"bullshit, that's completely insane!",This is crazy. It's crazy...,0.774795545141,0.1944444444444444,0.9996161460876464,0.0005158197600394,0.9991003263276068,4,5
there will be no more killing. The French will be killed.,"By that time, there won't be a Frenchman left to be killed!",0.673417142793,0.0333333333333333,0.9979903697967528,0.2251366078853607,0.7728537619113921,11,12
should we give him a lethal injection?,"What are we doing, lethal injection?",0.7309083243760001,0.0512820512820512,0.9958783388137816,0.0567234382033348,0.9391549006104468,7,6
Fool! Let this serve to remind you.,let them remind you of this.,0.704877478577,0.1944444444444444,0.9948822259902954,5.9268426412018016e-05,0.9948229575638834,7,6
Let me wash his body.,let me hug his body.,0.657045942582,0.0454545454545454,0.996364414691925,0.0008436204516328,0.9955207942402924,5,5
"""I kept asking Clarence why our world seemed to be collapsing..."" ...and everything was so shitty.",I asked Clarence why our world seemed to have a breakdown... and everything went so wrong.,0.7358382837899999,0.0808080808080808,0.9397501945495604,8.644860645290464e-05,0.9396637459431076,16,16
get that crap out of your system.,Get thatfilth out of your system.,0.7431906402959999,0.0,0.9995842576026917,0.0514296516776084,0.9481546059250832,7,6
"The mailman, that was the thing to think about, the goddam mailman.","the mailman, he's got a hell of a mind to think about the mailman.",0.7638995430300001,0.0147058823529411,0.6920987963676453,0.0084514673799276,0.6836473289877176,12,14
You are in a way over your fucking head!,you're in over your head!,0.865721437454,0.3658536585365853,0.9992063641548156,0.0025807099882513,0.9966256541665642,9,5
I'm gonna storm into his offiice in front ofeverybody... in the middle ofthe day and kill him that night?,"I'm gonna make a mess in his office in front of everyone in the middle of the day, and I'm gonna do it at night?",0.712470250332,0.0619469026548672,0.9979617595672609,0.0058931736275553,0.9920685859397056,19,25
"Two frigates and a destroyer gone, too-just fucking gone, man!","two frigs and one destroyer are gone, too, man!",0.840291244366,0.238095238095238,0.9950946569442748,0.0005436108331196,0.9945510461111552,10,9
"come on, fat Louie.","MIA: Come on, Fat Louie.",0.856403004809,0.2,0.9908562898635864,0.0031127214897423,0.987743568373844,4,5
American puppet!,Yankee puppets!,0.63247383291,0.0588235294117647,0.9971358776092528,0.0080576762557029,0.98907820135355,2,2
