reference,translation,similarity,lenght_diff,ref_tox,trn_tox
"I believe that a yard should have trees, not gay little angel fountains.",or maybe in the garden a man should have trees and not fountains with sculpted angels.,0.679575294397,0.160919540229885,0.9793394207954408,0.0001295566908083
You dead.,you're dead.,0.938096125251,0.2307692307692307,0.1368989050388336,0.9879670739173888
And cum and garlic and rum.,"and carrots, garlic and rum.",0.804321570739,0.0344827586206896,0.9864245057106018,0.000145544836414
"Due to miss sutter's convenient accusation That mr. O'reilly raped her,","thanks to Miss Sutter's profligacy, Mr. O'Reilly raped her, we resigned from the deal.",0.687542386832,0.1724137931034483,0.0550242513418197,0.9685932993888856
"Damn, I think Trubel's got her.","hell, I think Trubel got her.",0.8960799996600001,0.0625,0.997947633266449,0.0032013847958296
"Just sit tight and suck in the g-forces, old man.","sit tight and let it consume you by speed, old man.",0.744365108863,0.0384615384615384,0.994549572467804,0.0052630687132477
That's Exoglass. You need a nuclear bomb to get through.,"oh, that's an exoskeleton, you'd have to have a nuclear bomb.",0.7952606778129999,0.0806451612903225,0.9416201710700988,0.0071056908927857
This dog must have a trauma.,the dog must be traumatised.,0.656650491213,0.0,0.9592958092689514,0.0103227281942963
I didn't want you to blow the place to hell and back.,I didn't want you blowing up the place.,0.678732551266,0.2592592592592592,0.9737286567687988,0.0085522197186946
Can I be rid of my vampire?,so tell me if I can get rid of my vampire.,0.7349987563629999,0.3488372093023256,0.014368019066751,0.7179136276245117
Hush.,shut up!,0.630461557536,0.3333333333333333,6.540142931044102e-05,0.9993057250976562
"Marian, yeah, the big woman, with the purple eyeshadow, her husband right works in Customs, ..so he's on shiftwork, all the time, but what she doesn't know is that half the time he says he's on nights, he's actually in one of the airport hotels shagging a prostitute. Yeah?","Maria, a great woman with purple eye shadows, her husband works at customs, so she works shifts, but what she doesn't know is that half the time she's told her she's on the night, she's in one of the airport hotels, you know?",0.7949314514749999,0.1751824817518248,0.9776499271392822,5.888561645406298e-05
"What are you, a Nazi now?",did you get a Nazi?,0.675793553037,0.2307692307692307,0.9217833280563354,0.0102440509945154
